      2.0000000000000e-03	      6.0000000000000e-03
      4.3200000000000e-01	      1.2960000000000e+00
     -1.2800000000000e-01	      6.4000000000000e-02
     -1.0400000000000e-01	      7.2000000000000e-02
      2.8720000000000e+00	      1.0640000000000e+00
      1.5380000000000e+00	      3.5900000000000e+00
      1.9680000000000e+00	      4.8800000000000e+00
     -1.4580000000000e+00	      7.2900000000000e-01
     -1.4340000000000e+00	      7.3700000000000e-01
      1.5420000000000e+00	      1.7290000000000e+00
      3.0020000000000e+00	      7.0060000000000e+00
      3.4320000000000e+00	      8.2960000000000e+00
